,totalprice,xiaoqu,huxing,mianji,chaoxiang,zhuangxiu,dianti,guanzhu,daikan,fabu,mianji_num,mi,group_mianji,guanzhu_num,ren,group_guanzhu,label
0,515.0,羊坊店路3号院  , 2室1厅 , 63.06平米 , 东 西 , 简装,,79人关注 , 共45次带看 , 13天以前发布,63.06,米 ,50-100,79.0,关注 ,小于100,0
1,380.0,天通西苑二区  , 2室1厅 , 85.57平米 , 南 , 精装,,103人关注 , 共36次带看 , 10天以前发布,85.57,米 ,50-100,103.0,关注 ,100-200,0
2,425.0,建邦枫景  , 2室1厅 , 88.74平米 , 东 , 简装,,71人关注 , 共44次带看 , 27天以前发布,88.74,米 ,50-100,71.0,关注 ,小于100,0
3,360.0,靓景明居  , 2室1厅 , 76.76平米 , 东 西 , 其他,,92人关注 , 共42次带看 , 24天以前发布,76.76,米 ,50-100,92.0,关注 ,小于100,0
4,594.0,百万庄南街  , 2室1厅 , 59.4平米 , 东 西 , 精装,,61人关注 , 共42次带看 , 15天以前发布,59.4,米 ,50-100,61.0,关注 ,小于100,0
5,205.0,伟业嘉园西里  , 2室1厅 , 41.54平米 , 北 , 简装,,211人关注 , 共36次带看 , 25天以前发布,41.54,米 ,0-50,211.0,关注 ,200-300,0
6,535.0,北京新天地  , 2室2厅 , 96.41平米 , 南 , 精装,,206人关注 , 共49次带看 , 14天以前发布,96.41,米 ,50-100,206.0,关注 ,200-300,0
7,1380.0,烧酒胡同3号院  , 3室1厅 , 105.33平米 , 南 北 , 简装,,52人关注 , 共20次带看 , 6天以前发布,105.33,米 ,100-150,52.0,关注 ,小于100,2
8,960.0,天鸿美域  , 4室2厅 , 156.83平米 , 南 北 , 精装,,142人关注 , 共81次带看 , 1个月以前发布,156.83,米 ,150-200,142.0,关注 ,100-200,2
9,485.0,金蝉南里  , 2室1厅 , 87平米 , 南 , 毛坯,,30人关注 , 共22次带看 , 8天以前发布,87.0,米 ,50-100,30.0,关注 ,小于100,0
10,470.0,安慧北里小区  , 2室1厅 , 63.31平米 , 南 北 , 精装,,127人关注 , 共37次带看 , 16天以前发布,63.31,米 ,50-100,127.0,关注 ,100-200,0
11,1100.0,珊瑚湾  , 3室1厅 , 155.38平米 , 南 北 , 精装,,35人关注 , 共33次带看 , 20天以前发布,155.38,米 ,150-200,35.0,关注 ,小于100,2
12,580.0,苹果派  , 2室1厅 , 94.34平米 , 南 北 , 精装,,121人关注 , 共53次带看 , 29天以前发布,94.34,米 ,50-100,121.0,关注 ,100-200,0
13,570.0,彩虹城三区  , 2室1厅 , 92.7平米 , 南 北 , 精装,,21人关注 , 共33次带看 , 19天以前发布,92.7,米 ,50-100,21.0,关注 ,小于100,0
14,450.0,翠微路2号院  , 2室1厅 , 45平米 , 南 , 其他,,135人关注 , 共31次带看 , 21天以前发布,45.0,米 ,0-50,135.0,关注 ,100-200,0
15,420.0,天通苑北二区  , 2室1厅 , 105.61平米 , 南 , 精装,,31人关注 , 共39次带看 , 21天以前发布,105.61,米 ,100-150,31.0,关注 ,小于100,0
16,360.0,京贸国际城东区  , 2室1厅 , 74.4平米 , 南 , 简装,,62人关注 , 共36次带看 , 21天以前发布,74.4,米 ,50-100,62.0,关注 ,小于100,0
17,270.0,双裕小区  , 1室1厅 , 59.88平米 , 南 北 , 简装,,5人关注 , 共29次带看 , 17天以前发布,59.88,米 ,50-100,5.0,关注 ,小于100,0
18,605.0,翠微中里  , 2室1厅 , 64.04平米 , 南 北 , 简装,,27人关注 , 共15次带看 , 4天以前发布,64.04,米 ,50-100,27.0,关注 ,小于100,0
19,730.0,信德园  , 2室2厅 , 107.86平米 , 西 , 精装,,33人关注 , 共17次带看 , 5天以前发布,107.86,米 ,100-150,33.0,关注 ,小于100,2
