,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,浦东,550,192.5万,18973元,外环外,贝越水岸名邸(浦东川沙)地图,sh4280757举报假一赔百细则,2室2厅1卫,有(一梯二户),101.22平,暂无数据,中区/8层,精装,南北,2008-01-18,满五,折现,住宅 - 公寓,51652元/平,2007年,住宅 - 别墅、住宅 - 公寓,90栋,528户,上海浦东妙城物业管理有限公司、秒城物业,上海浦东妙城物业管理有限公司,10套在售二手房3套在租房源,
1,松江,310,108.5万,10694元,外环外,奥林匹克花园(松江九亭)地图,sh4274715举报假一赔百细则,1室2厅1卫,有(一梯五户),73.47平,暂无数据,低区/16层,精装,南,暂无数据,满五,置换,住宅 - 公寓,46060元/平,1999~2010年,住宅 - 公寓,337栋,5309户,上海奥林匹克物业管理有限公司,上海奥林匹克置业投资有限公司,124套在售二手房30套在租房源,
2,浦东,1500,525万,51746元,内环内,仁恒滨江园(浦东陆家嘴)地图,sh4270412举报假一赔百细则,3室2厅2卫,有(二梯四户),170.46平,暂无数据,低区/33层,暂无数据,暂无数据,2009-09-04,满五,折现,住宅 - 公寓,104065元/平,1998~2003年,住宅 - 别墅、住宅 - 公寓,43栋,1945户,上海仁恒物业管理有限公司,上海仁恒房地产有限公司、仁恒置业,47套在售二手房89套在租房源,
3,浦东,265,92.8万,9142元,外环外,新德公寓（浦东）(浦东川沙)地图,sh4269932举报假一赔百细则,2室1厅1卫,暂无数据,64.39平,暂无数据,高区/6层,简装,南,2009-12-21,满五,置换,住宅 - 公寓,39081元/平,1993~1998年,住宅 - 公寓,46栋,538户,建工物业,上海建工集团,8套在售二手房3套在租房源,
4,长宁,275,96.2万,9487元,内环内,法华镇路878弄(长宁新华路)地图,sh4269616举报假一赔百细则,2室1厅1卫,暂无数据,44.55平,暂无数据,高区/6层,精装,南,2012-08-13,满五,置换,住宅 - 公寓,71471元/平,1986~1993年,住宅 - 公寓、住宅 - 新里,13栋,390户,宝华物业有限公司、新华物业,长宁建筑、长宁集团,9套在售二手房3套在租房源,
5,徐汇,458,160.3万,15800元,内环内,永福路147弄(徐汇衡山路)地图,sh4264825举报假一赔百细则,1室1厅1卫,暂无数据,39.2平,暂无数据,中区/5层,精装,南,2007-01-29,满五,折现,住宅 - 公寓,103264元/平,1936~1999年,住宅 - 公寓、住宅 - 新里、住宅 - 洋房,27栋,152户,上海市永福物业有限公司、永福物业,上海徐房建筑实业公司、上海徐房集团有限公司,2套在售二手房4套在租房源,
6,黄浦,1160,406万,40017元,内环内,弘辉名苑(黄浦世博滨江)地图,sh4261168举报假一赔百细则,3室2厅2卫,有(三梯六户),129.69平,暂无数据,中区/22层,精装,南,2010-10-08,满五,置换,住宅 - 公寓,2005年,住宅 - 公寓,8栋,667户,上海维灵物业管理有限公司,上海弘辉房地产开发有限公司,13套在售二手房3套在租房源,,
7,闵行,485,169.8万,16731元,外环外,万兆家园（一期）(闵行七宝)地图,sh4258697举报假一赔百细则,2室2厅1卫,暂无数据,83.72平,暂无数据,中区/6层,精装,南,2009-08-25,满五,置换,住宅 - 公寓,56662元/平,1994~2004年,住宅 - 公寓,102栋,1188户,上海轩宇物业管理有限公司,上海万兆房地产发展有限公司,14套在售二手房3套在租房源,
8,徐汇,965,337.8万,33290元,内环内,锦汇苑(徐汇徐家汇)地图,sh4256573举报假一赔百细则,2室2厅1卫,有(二梯六户),94.3平,暂无数据,高区/28层,中装,南,2010-01-02,满五,折现,住宅 - 公寓,96384元/平,1997年,住宅 - 公寓,2栋,342户,上海工联物业公司、工联物业,上海铭源房地产开发经营有限公司,9套在售二手房8套在租房源,
9,杨浦,370,129.5万,12764元,内中环,松苑小区(杨浦黄兴公园)地图,sh4250716举报假一赔百细则,2室1厅1卫,暂无数据,64.65平,暂无数据,高区/7层,简装,南北,2008-06-12,满五,其它,住宅 - 公寓,60967元/平,1995~1997年,住宅 - 公寓,28栋,460户,上海黄兴物业有限公司,松原房产开发有限公司,13套在售二手房4套在租房源,
