,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,黄浦,649,227.1万,22389元,内中环,越纪公寓(黄浦世博滨江)地图,sh4647403举报假一赔百细则,1室1厅1卫,有(二梯八户),55.15平,暂无数据,高区/25层,暂无数据,暂无数据,2004-06-21,满五,折现,住宅 - 公寓,102740元/平,1992~1996年,住宅 - 公寓,2栋,400户,上海上实物业管理有限公司、上实物业,上海新纪元集团,5套在售二手房6套在租房源
1,黄浦,980,343万,33807元,内环内,海悦花园(黄浦打浦桥)地图,sh4647390举报假一赔百细则,2室2厅1卫,有(二梯四户),88.33平,暂无数据,高区/26层,精装,西南,2004-11-21,满五,折现,住宅 - 公寓,103118元/平,2004~2005年,住宅 - 公寓、商业类,14栋,1053户,中海物业管理（上海）有限公司、中海物业管理(上海)有限公司、中海物业,上海中海房地产有限公司,15套在售二手房8套在租房源
2,浦东,430,150.5万,14834元,外环外,妙境二村(浦东川沙)地图,sh4646611举报假一赔百细则,3室2厅1卫,暂无数据,105.23平,暂无数据,中区/4层,中装,南北,2003-06-06,满五,折现,住宅 - 公寓,38622元/平,1998年,住宅 - 公寓,9栋,96户,吉利物业,上海浦东开发公司,4套在售二手房1套在租房源
3,虹口,739,258.6万,25493元,内环内,凯虹家园(虹口临平路)地图,sh4646573举报假一赔百细则,2室2厅1卫,有(二梯四户),101.31平,暂无数据,中区/33层,简装,南,2003-06-13,满五,其它,住宅 - 公寓,75844元/平,2000~2001年,住宅 - 公寓,10栋,556户,狮城怡安（上海）物业管理有限公司、新加坡怡安物业管理有限公司,上海贞观房地产经营有限公司,12套在售二手房4套在租房源
4,浦东,690,241.5万,23803元,内环内,花木苑(浦东花木)地图,sh4646182举报假一赔百细则,3室2厅1卫,暂无数据,92.63平,暂无数据,高区/6层,精装,南北,2007-05-04,满五,置换,住宅 - 公寓,79871元/平,2000~2001年,住宅 - 公寓,151栋,1922户,上海市花木物业、上海花木物业、花木物业,上海鑫荣房地产综合开发有限公司,34套在售二手房15套在租房源
5,闸北,540,189万,18629元,内中环,宁和小区(闸北大宁)地图,sh4644585举报假一赔百细则,3室1厅1卫,暂无数据,74.07平,暂无数据,高区/6层,简装,南北,2006-06-04,满五,置换,住宅 - 公寓,85335元/平,1991~1995年,住宅 - 公寓,74栋,1472户,共和物业,上海柏年置业有限公司,14套在售二手房7套在租房源
6,普陀,263,92万,9073元,长风二村（长风馨苑）(普陀长风)地图,sh4644321举报假一赔百细则,2室0厅1卫,暂无数据,41.78平,暂无数据,高区/6层,中装,南北,2001-06-23,满五,折现,住宅 - 公寓,66000元/平,1983~1993年,住宅 - 公寓、住宅 - 新里,58栋,1967户,暂无信息,暂无信息,15套在售二手房4套在租房源,
7,闵行,188,65.8万,6485元,外环外,红旗四街坊(闵行老闵行)地图,sh4644111举报假一赔百细则,2室1厅1卫,暂无数据,52.9平,暂无数据,高区/6层,简装,南,1996-07-07,满五,其它,住宅 - 公寓,36174元/平,1987~2004年,住宅 - 公寓,221栋,2992户,小荷物业、上海合生物业管理有限公司,上海龙盟房地产开发有限公司,52套在售二手房16套在租房源
8,浦东,1500,525万,51746元,中外环,环球翡翠湾花园(别墅)(浦东三林)地图,sh4643961举报假一赔百细则,4室2厅3卫,暂无数据,189.38平,暂无数据,地上3层,精装,南北,2007-07-02,满五,其它,住宅 - 别墅,86726元/平,2006年,住宅 - 别墅,143栋,146户,第一太平戴维斯物业,浦发集团,2套在售二手房2套在租房源
9,宝山,660,231万,22768元,梧桐城邦（一期）(宝山大华)地图,sh4643776举报假一赔百细则,3室2厅1卫,有(三梯三户),116.09平,暂无数据,高区/14层,精装,南北,2007-09-14,满五,置换,住宅 - 公寓,56059元/平,2006年,住宅 - 公寓,44栋,628户,暂无信息,暂无信息,12套在售二手房5套在租房源,
10,浦东,450,157.5万,15524元,内环内,福竹小区(浦东源深)地图,sh4642325举报假一赔百细则,2室1厅1卫,暂无数据,52.21平,暂无数据,中区/6层,精装,南北,暂无数据,满五,置换,住宅 - 公寓,80837元/平,1988~1989年,住宅 - 公寓,17栋,390户,上海浦东新区潍坊物业公司、潍坊物业,上海浦房集团,6套在售二手房2套在租房源
11,松江,625,218.8万,21561元,外环外,保利西子湾(松江松江大学城)地图,sh4642109举报假一赔百细则,4室2厅2卫,有(二梯三户),140.5平,暂无数据,中区/18层,精装,南,暂无数据,满五,置换,住宅 - 公寓,43990元/平,2008~2010年,住宅 - 厂房、住宅 - 公寓、商业类,70栋,3521户,上海保利物业管理、保利物业,上海城乾房地产开发有限公司,47套在售二手房45套在租房源
12,闸北,736,257.6万,25390元,内中环,悠和家园(闸北大宁)地图,sh4641821举报假一赔百细则,2室2厅1卫,有(二梯四户),90.52平,暂无数据,高区/26层,暂无数据,暂无数据,2007-06-29,满五,折现,住宅 - 公寓,75036元/平,2006年,住宅 - 公寓,15栋,722户,上海驰骋物业管理有限公司、上海驰骋物业管理有限公司,上海优合置业有限公司,11套在售二手房4套在租房源
13,浦东,980,343万,33807元,中外环,中房樱桃苑(浦东三林)地图,sh4641757举报假一赔百细则,3室2厅2卫,有(二梯二户),129.9平,暂无数据,中区/13层,精装,南北,2008-02-01,满五,其它,住宅 - 公寓,73489元/平,2006年,住宅 - 公寓,32栋,799户,上海申能物业管理有限公司、上海盛源物业有限公司、申能物业,上海中房置业股份有限公司、中房集团,4套在售二手房2套在租房源
14,黄浦,850,297.5万,29323元,内环内,中华东波小区(黄浦老西门)地图,sh4641362举报假一赔百细则,3室2厅1卫,有(二梯七户),115.0平,暂无数据,中区/21层,中装,南,2003-01-21,满五,折现,住宅 - 公寓,75961元/平,2000年,住宅 - 公寓、商业类、住宅 - 写字楼,4栋,236户,上海孙林物业管理有限公司,上海南房集团有限公司、南房集团,6套在售二手房0套在租房源
15,徐汇,800,280万,27598元,内环内,南山大楼(徐汇徐家汇)地图,sh4640836举报假一赔百细则,2室1厅1卫,有(二梯八户),79.88平,暂无数据,中区/21层,精装,南北,2012-08-03,满五,折现,住宅 - 公寓,100150元/平,暂无信息,住宅 - 公寓,1栋,152户,申大物业,上海南天置业有限公司,1套在售二手房4套在租房源
16,长宁,470,164.5万,16214元,内环内,番禺路222弄(长宁新华路)地图,sh4639920举报假一赔百细则,2室1厅1卫,暂无数据,64.72平,暂无数据,中区/7层,中装,南北,2007-05-01,满五,置换,住宅 - 公寓,68107元/平,1993年,住宅 - 公寓,9栋,323户,上海新长宁集团新华物业管理公司,上海新华房地产发展公司,8套在售二手房2套在租房源
17,浦东,335,117.2万,11557元,外环外,绿波城(浦东唐镇)地图,sh4639842举报假一赔百细则,1室1厅1卫,暂无数据,59.1平,暂无数据,高区/6层,毛坯,南,暂无数据,满五,置换,住宅 - 公寓,50250元/平,2006年,住宅 - 公寓、住宅 - 写字楼,148栋,1887户,自主物业,上海鉴诚韵置业有限公司,22套在售二手房4套在租房源
18,浦东,295,103.2万,10177元,内中环,罗山三村(浦东金杨)地图,sh4639682举报假一赔百细则,2室1厅1卫,暂无数据,53.65平,暂无数据,高区/6层,中装,南,2003-05-27,满五,置换,住宅 - 公寓,56432元/平,1984~1999年,住宅 - 公寓,147栋,2829户,上海通昌物业管理有限公司、通昌物业,上海建工房产有限公司,32套在售二手房7套在租房源
19,宝山,435,152.2万,15006元,中外环,学林苑(宝山上大)地图,sh4639535举报假一赔百细则,2室2厅1卫,有(一梯二户),87.7平,暂无数据,中区/11层,简装,南,暂无数据,满五,置换,住宅 - 公寓,48983元/平,2004年,住宅 - 公寓、住宅 - 写字楼,85栋,1129户,虹林物业,上海虹林房地产开发有限公司,17套在售二手房12套在租房源
20,徐汇,342,119.7万,11798元,内中环,冶金小区(徐汇田林)地图,sh4639508举报假一赔百细则,2室1厅1卫,暂无数据,51.1平,暂无数据,高区/5层,简装,南北,2001-05-09,满五,置换,住宅 - 公寓,61575元/平,1955~1995年,住宅 - 公寓,21栋,342户,自主物业、上海田林物业有限公司,无开发商,8套在售二手房0套在租房源
21,松江,279,97.6万,9625元,外环外,新凯家园(松江泗泾)地图,sh4638963举报假一赔百细则,2室1厅1卫,有(一梯四户),77.71平,暂无数据,低区/14层,简装,暂无数据,2010-05-29,满五,其它,住宅 - 公寓,37028元/平,2006~2015年,住宅 - 公寓、住宅 - 写字楼,478栋,7422户,彩生活物业,上海新凯房地产开发有限公司,84套在售二手房17套在租房源
22,浦东,475,166.2万,16386元,外环外,翔川家园(浦东川沙)地图,sh4638294举报假一赔百细则,2室1厅1卫,暂无数据,79.81平,暂无数据,中区/6层,精装,南北,2008-10-09,满五,其它,住宅 - 公寓,58308元/平,2008~2010年,住宅 - 公寓,73栋,876户,上海佳龙物业公司,上海贝越实业有限公司,10套在售二手房4套在租房源
23,杨浦,422,147.7万,14558元,内中环,控江五村(杨浦黄兴公园)地图,sh4637990举报假一赔百细则,2室1厅1卫,暂无数据,63.24平,暂无数据,高区/6层,精装,南,2009-12-01,满五,其它,住宅 - 公寓,62104元/平,1957~2007年,住宅 - 公寓,127栋,3221户,卫百辛集团物业、卫百辛物业,老上海黄兴房产开发公司、老上海黄兴房产公司,63套在售二手房10套在租房源
24,闵行,490,171.5万,16904元,外环外,小富人家(闵行莘庄)地图,sh4637696举报假一赔百细则,2室2厅1卫,暂无数据,80.66平,暂无数据,中区/6层,精装,南北,2003-09-15,满五,折现,住宅 - 公寓,50624元/平,2003年,住宅 - 公寓,58栋,696户,上海盛祥物业管理有限公司,上海源城房地产有限公司,11套在售二手房12套在租房源
25,普陀,410,143.5万,14144元,中外环,泰宸苑(普陀长征)地图,sh4636732举报假一赔百细则,2室1厅1卫,暂无数据,72.34平,暂无数据,高区/7层,中装,南北,2006-09-11,满五,置换,住宅 - 公寓,58503元/平,1998~2000年,住宅 - 公寓,74栋,984户,上海达苑物业管理有限公司,上海欣泰实业有限公司,20套在售二手房1套在租房源
